SA_iterations,fitness,time,fevals
1030,0.0424932014191,0.00102253699333,1041
1040,0.0430610037762,0.00103274799221,1051
1050,0.0437840367913,0.00106046299334,1061
1060,0.0438586076904,0.00107395599298,1071
1070,0.0438586076904,0.00112355199235,1081
1080,0.0439043001275,0.00114032699275,1091
1090,0.0439043001275,0.00115491399265,1101
1100,0.0439043001275,0.00117132399282,1111
1110,0.0440366618314,0.00118299399401,1121
1120,0.0440366618314,0.00119174599422,1131
1130,0.0441473578492,0.00120086299466,1141
1140,0.0441473578492,0.00121253299403,1151
1150,0.0443891909163,0.0012223789945,1161
1160,0.0443891909163,0.0012325899952,1171
1170,0.0445578278262,0.00124280099408,1181
1180,0.0445578278262,0.00126650499442,1191
1190,0.0445578278262,0.00128145699455,1201
1200,0.0446119698161,0.00133251099396,1211
1210,0.0446119698161,0.0013503799928,1221
1220,0.0446614705112,0.00136423799268,1231
1230,0.0447343052291,0.00139304699223,1241
1240,0.0448238597482,0.00141711499236,1251
1250,0.0448238597482,0.00142732599306,1261
1260,0.0450567480108,0.00143790099173,1271
1270,0.0450567480108,0.00145394699211,1281
1280,0.0450567480108,0.00146415799281,1291
1290,0.0450567480108,0.00147254499279,1301
1300,0.0450567480108,0.00148129699301,1311
1310,0.0451305483751,0.00149114299165,1321
1320,0.0451305483751,0.0015002599921,1331
1330,0.0451305483751,0.00150901199231,1341
1340,0.0451305483751,0.00151776399252,1351
1350,0.0451305483751,0.00153782099187,1361
1360,0.0451305483751,0.00157392299116,1371
1370,0.0451305483751,0.00158996899154,1381
1380,0.0455010250795,0.00159981499201,1391
1390,0.0455781017293,0.00160893199245,1401
1400,0.0455781017293,0.00161731899243,1411
1410,0.0455781017293,0.00162643599288,1421
1420,0.0455781017293,0.00163518799309,1431
1430,0.0459644551544,0.00164430499353,1441
1440,0.0460499061854,0.00165305699193,1451
1450,0.0460499061854,0.00166180999076,1461
1460,0.0462227883667,0.00167019699074,1471
1470,0.0462227883667,0.00167858499117,1481
1480,0.0462227883667,0.00168697298977,1491
1490,0.0462227883667,0.00169572498999,1501
1500,0.0462227883667,0.00170411299041,1511
1510,0.0462227883667,0.00171250099083,1521
1520,0.0462227883667,0.00172088799081,1531
1530,0.0462227883667,0.00173620499118,1541
1540,0.0462227883667,0.00174568699185,1551
1550,0.0462227883667,0.00175407399183,1561
1560,0.0463775785891,0.00176319099228,1571
1570,0.0464138802195,0.00177230799272,1581
1580,0.04643451215,0.00178105999294,1591
1590,0.04643451215,0.00178944799336,1601
1600,0.04643451215,0.00179747099355,1611
1610,0.04643451215,0.00180622299376,1621
1620,0.04643451215,0.00182299699372,1631
1630,0.04643451215,0.00185727599455,1641
1640,0.04643451215,0.00187332199494,1651
1650,0.0464521848448,0.00188280399561,1661
1660,0.0472941501251,0.00189155599583,1671
1670,0.0474130499739,0.00189994399443,1681
1680,0.0476298127292,0.00190833099441,1691
1690,0.0481378691024,0.00191671799439,1701
1700,0.0481378691024,0.00192510599481,1711
1710,0.0486081880846,0.00193349399524,1721
1720,0.0486081880846,0.00194188099522,1731
1730,0.0486480545163,0.00194990399541,1741
1740,0.0486480545163,0.00195829199583,1751
1750,0.0486480545163,0.00198090099548,1761
1760,0.048662597069,0.00199694699404,1771
1770,0.048662597069,0.00200606399449,1781
1780,0.048662597069,0.00201445099447,1791
